file,timeY,resultY,timeZ,resultZ,timeC,resultC,resultDc,smtTimeDc,smtTimeDO,smtTimeDOOOI,smtTimeDOI,resultDO,resultDOOOI,resultDOI,result
Arthan1A-chunk-0016,0.0,sat,0.01,sat,0.03,sat,sat,0.01,0.01,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Ben-Amram-2010LMCS-Ex2.3_true-termi...,182.44,unsat,102.1,unsat,369.73,unsat,,,759.42,768.18,820.32,$\delta$,$\delta$,$\delta$,unsat
Ben-Amram-2010LMCS-Ex2.3_true-termi...,175.12,unsat,143.93,unsat,288.88,unsat,,,12186.7,13243.6,12206.8,$\delta$,$\delta$,$\delta$,unsat
Ben-Amram-2010LMCS-Ex2.3_true-termi...,24.24,unsat,14.43,unsat,64.99,unsat,,,125.97,133.26,125.47,$\delta$,$\delta$,$\delta$,unsat
Ben-Amram-2010LMCS-Ex2.3_true-termi...,14.75,unsat,21.7,unsat,53.42,unsat,,,1388.77,1363.86,1353.91,$\delta$,$\delta$,$\delta$,unsat
BenAmram-2010LMCS-Ex2.3.bpl_Iterati...,56.86,unsat,43.01,unsat,107.6,unsat,,,98.71,82.45,93.94,$\delta$,$\delta$,$\delta$,unsat
BenAmram-2010LMCS-Ex2.3.bpl_Iterati...,57.46,unsat,38.3,unsat,131.41,unsat,,,93.21,99.59,93.38,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005CAV-Fig1_true...,18.79,sat,294.75,sat,481.47,sat,,,1758.3,1904.57,1592.36,$\delta$,$\delta$,$\delta$,sat
BradleyMannaSipma-2005CAV-Fig1_true...,1.46,sat,15.49,sat,30.78,sat,,,20.44,33.27,21.28,$\delta$,$\delta$,$\delta$,sat
BradleyMannaSipma-2005CAV-Fig1_true...,10.32,sat,45.08,sat,93.94,sat,,,38.8,63.54,38.88,$\delta$,$\delta$,$\delta$,sat
BradleyMannaSipma-2005CAV-Fig1_true...,7.06,sat,93.69,sat,137.55,sat,,,295.66,396.56,371.76,$\delta$,$\delta$,$\delta$,sat
BradleyMannaSipma-2005CAV-Fig1_true...,1560.39,sat,533.95,sat,892.86,sat,,,66.15,103.84,67.21,$\delta$,$\delta$,$\delta$,sat
BradleyMannaSipma-2005ICALP-Fig1-de...,1.05,unsat,4.78,unsat,51.74,unsat,unsat,1419.92,9.6,14.03,9.52,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1-de...,3.8,unsat,7.28,unsat,58.13,unsat,,,48.47,42.01,45.99,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,,,7733.17,unsat,6935.27,unsat,,,2572.99,2579.97,2227.92,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,2.99,unsat,63.73,unsat,152.15,unsat,,,144.5,165.49,114.72,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,6.35,unsat,560.79,unsat,582.26,unsat,,,147.33,170.59,124.97,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,37.59,unsat,10.38,unsat,13.37,unsat,,,60.5,70.4,50.21,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,399.54,unsat,663.74,unsat,115.7,unsat,,,503.01,447.66,475.22,$\delta$,$\delta$,$\delta$,unsat
BradleyMannaSipma-2005ICALP-Fig1_tr...,3.52,unsat,1.49,unsat,43.04,unsat,unsat,20123.1,71.96,82.91,58.9,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,10.27,unsat,23.81,unsat,15.75,unsat,,,0.17,0.78,0.62,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,10.28,unsat,23.12,unsat,16.18,unsat,,,0.44,0.45,0.15,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,,,23816.21,unsat,1775.13,unsat,,,0.18,0.93,0.21,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,4019.64,unsat,748.7,unsat,110.3,unsat,,,0.1,0.08,0.12,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,220.57,unsat,13.29,unsat,6.4,unsat,unsat,366.57,0.09,0.35,0.1,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,,,23612.72,unsat,1802.14,unsat,,,0.17,0.21,0.25,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,220.66,unsat,12.59,unsat,6.92,unsat,unsat,333.08,0.11,0.18,0.07,$\delta$,$\delta$,$\delta$,unsat
Braverman-2006CAV-Ex1-int.bpl_Itera...,4205.45,unsat,747.89,unsat,99.36,unsat,,,0.1,0.09,0.13,$\delta$,$\delta$,$\delta$,unsat
CMOS-opamp-chunk-0005,0.0,sat,0.01,sat,0.05,sat,sat,0.0,0.0,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0007,0.0,sat,0.01,sat,0.03,sat,sat,0.01,0.01,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0008,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0010,0.0,sat,,,0.03,sat,sat,0.0,0.0,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0012,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.04,0.02,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0013,0.0,sat,0.01,sat,0.07,sat,sat,0.0,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0015,0.0,sat,,,0.03,sat,sat,0.01,0.01,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0016,0.0,sat,,,0.04,sat,sat,0.0,0.02,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
CMOS-opamp-chunk-0024,0.0,unsat,0.01,unsat,0.03,unsat,unsat,0.0,0.0,0.01,0.02,,,,unsat
Cairo2.bpl_Iteration1_Lasso_7-phase...,1.12,unsat,4.81,unsat,27.82,unsat,unsat,9441.75,0.33,0.29,0.45,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Lasso_4-pie...,1.46,unsat,9.28,unsat,53.38,unsat,,,76.65,131.24,87.06,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Lasso_6-pha...,1.19,unsat,6.58,unsat,30.33,unsat,unsat,2014.37,1.88,1.55,2.59,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Lasso_7-pha...,6.19,unsat,43.29,unsat,438.74,unsat,unsat,7697.44,3.32,3.19,3.16,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Loop_4-piec...,1.44,unsat,6.92,unsat,53.41,unsat,,,80.84,71.65,87.83,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Loop_6-phas...,1.18,unsat,8.27,unsat,25.05,unsat,unsat,2055.93,1.85,1.6,2.71,$\delta$,$\delta$,$\delta$,unsat
Canberra.bpl_Iteration1_Loop_7-phas...,6.33,unsat,42.61,unsat,433.48,unsat,unsat,7801.25,2.75,3.08,3.14,$\delta$,$\delta$,$\delta$,unsat
Carpark2-ausgabe-1,0.0,unsat,0.01,unsat,0.05,unsat,unsat,0.02,0.02,0.05,0.03,,,,unsat
Carpark2-ausgabe-2,0.0,unsat,0.01,unsat,0.03,unsat,unsat,0.03,0.02,0.07,0.04,,,,unsat
Carpark2-ausgabe-3,0.0,unsat,0.01,unsat,0.07,unsat,unsat,0.03,0.03,0.03,0.04,,,,unsat
Carpark2-ausgabe-4,0.0,unsat,0.01,unsat,0.08,unsat,unsat,0.05,0.04,0.06,0.04,,,,unsat
Carpark2-ausgabe-5,0.0,unsat,0.02,unsat,0.09,unsat,unsat,0.07,0.05,0.18,0.06,,,,unsat
Carpark2-ausgabe-6,0.01,unsat,0.02,unsat,0.08,unsat,unsat,0.07,0.07,0.22,0.06,,,,unsat
Carpark2-ausgabe-7,0.01,unsat,0.03,unsat,0.09,unsat,unsat,0.07,0.08,0.07,0.08,,,,unsat
Carpark2-ausgabe-8,0.01,sat,0.03,sat,0.14,sat,sat,0.45,0.25,0.23,0.25,$\delta$,$\delta$,$\delta$,sat
Carpark2-t1-1,0.0,unsat,,,0.03,unsat,unsat,0.01,0.02,0.05,0.02,,,,unsat
Carpark2-t1-2,0.0,unsat,0.01,unsat,0.04,unsat,unsat,0.03,0.03,0.09,0.06,,,,unsat
Carpark2-t1-3,0.0,unsat,,,0.05,unsat,unsat,0.05,0.04,0.21,0.06,,,,unsat
Carpark2-t1-4,0.0,sat,0.02,sat,0.08,sat,sat,0.08,0.08,0.06,0.1,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0005,0.0,sat,,,0.01,sat,sat,0.01,0.01,0.02,0.04,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0006,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.01,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0008,0.0,sat,,,0.06,sat,sat,0.0,0.01,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0010,0.0,sat,0.01,sat,0.03,sat,sat,0.0,0.01,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0011,0.0,sat,,,0.01,sat,sat,0.0,0.02,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0012,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0013,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0023,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0028,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0043,0.0,sat,,,0.01,sat,sat,0.0,0.0,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0057,0.0,sat,,,0.06,sat,sat,0.0,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0108,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.0,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0112,0.0,unsat,0.01,unsat,0.01,unsat,unsat,0.0,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,unsat
Chua-1-IL-L-chunk-0128,0.0,sat,0.01,sat,0.0,sat,sat,0.0,0.0,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0142,0.0,sat,,,0.01,sat,sat,0.01,0.01,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-L-chunk-0155,0.0,unsat,,,0.01,unsat,unsat,0.0,0.0,0.03,0.03,,,,unsat
Chua-1-IL-L-chunk-0156,0.0,unsat,,,0.04,unsat,unsat,0.0,0.0,0.02,0.01,,,,unsat
Chua-1-IL-U-chunk-0030,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-U-chunk-0035,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.0,0.0,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-U-chunk-0042,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-U-chunk-0056,0.0,sat,,,0.01,sat,sat,0.02,0.02,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-IL-U-chunk-0069,0.0,sat,0.01,sat,0.02,sat,sat,0.01,0.01,0.03,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0005,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.02,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0006,0.0,sat,,,0.03,sat,sat,0.0,0.01,0.01,0.05,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0008,0.0,sat,,,0.11,sat,sat,0.01,0.01,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0010,0.0,sat,0.01,sat,0.0,sat,sat,0.0,0.01,0.03,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0011,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0012,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.01,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0013,0.0,sat,,,0.2,sat,sat,0.0,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0023,0.0,sat,0.01,sat,0.04,sat,sat,0.02,0.02,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0028,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.02,0.11,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0042,0.0,sat,0.01,sat,0.04,sat,sat,0.0,0.01,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0058,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.0,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0109,0.0,sat,0.01,sat,0.02,sat,sat,0.01,0.01,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0113,0.0,unsat,0.01,unsat,0.01,unsat,unsat,0.02,0.01,0.02,0.04,$\delta$,$\delta$,$\delta$,unsat
Chua-1-VC1-L-chunk-0128,0.0,sat,,,0.04,sat,sat,0.0,0.01,0.03,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0142,0.0,sat,0.01,sat,0.01,sat,sat,0.01,0.01,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-L-chunk-0155,0.0,unsat,0.01,unsat,0.03,unsat,unsat,0.02,0.01,0.01,0.03,,,,unsat
Chua-1-VC1-L-chunk-0156,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.0,0.0,0.01,0.03,,,,unsat
Chua-1-VC1-U-chunk-0035,0.0,sat,,,0.03,sat,sat,0.01,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-U-chunk-0037,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.0,0.01,0.0,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-U-chunk-0045,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.0,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-U-chunk-0059,0.0,sat,0.01,sat,0.03,sat,sat,0.0,0.02,0.04,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC1-U-chunk-0071,0.0,sat,0.02,sat,0.02,sat,sat,0.0,0.0,0.03,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0005,0.0,sat,0.02,sat,0.05,sat,sat,0.0,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0006,0.0,sat,0.02,sat,0.01,sat,sat,0.02,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0008,0.0,sat,0.02,sat,0.06,sat,sat,0.0,0.0,0.02,0.05,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0010,0.0,sat,0.01,sat,0.03,sat,sat,0.0,0.0,0.04,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0011,0.0,sat,,,0.02,sat,sat,0.0,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0012,0.0,sat,0.01,sat,0.03,sat,sat,0.0,0.0,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0013,0.0,sat,,,0.03,sat,sat,0.0,0.0,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0030,0.0,sat,0.02,sat,0.04,sat,sat,0.01,0.01,0.06,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0035,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.0,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0042,0.0,sat,,,0.0,sat,sat,0.0,0.0,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0056,0.0,sat,,,0.04,sat,sat,0.0,0.0,0.02,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-L-chunk-0069,0.0,sat,,,0.03,sat,sat,0.0,0.0,0.02,0.04,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0023,0.0,sat,,,0.01,sat,sat,0.0,0.0,0.01,0.04,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0028,0.0,sat,0.01,sat,0.02,sat,sat,0.02,0.01,0.01,0.02,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0043,0.0,sat,,,0.01,sat,sat,0.0,0.0,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0057,0.0,sat,,,0.03,sat,sat,0.0,0.0,0.05,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0108,0.0,sat,0.01,sat,0.03,sat,sat,0.02,0.02,0.04,0.04,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0112,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.0,0.0,0.11,0.03,$\delta$,$\delta$,$\delta$,unsat
Chua-1-VC2-U-chunk-0128,0.0,sat,,,0.02,sat,sat,0.02,0.0,0.01,0.03,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0142,0.0,sat,,,0.03,sat,sat,0.01,0.01,0.02,0.01,$\delta$,$\delta$,$\delta$,sat
Chua-1-VC2-U-chunk-0155,0.0,unsat,,,0.37,unsat,unsat,0.0,0.0,0.01,0.02,,,,unsat
